2023-02-23T01:49:36.883302Z WARNING - Cannot cast to local parameters.
2023-02-23T01:49:36.883357Z VERBOSE - driver connecting...
2023-02-23T01:49:36.883357Z VERBOSE - driver connected
2023-02-23T01:49:36.883535Z VERBOSE - driver initializing...
2023-02-23T01:49:36.883536Z VERBOSE -    trying to initialize...
2023-02-23T01:49:39.864293Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:39.864301Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:39.864303Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:39.864351Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:39.931630Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:39.931641Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:39.931642Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:39.931696Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:39.999010Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:39.999025Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:39.999027Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:39.999093Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.066449Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.066462Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.066465Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.066542Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.133840Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.133858Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.133861Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.133950Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.201339Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.201353Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.201355Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.201430Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.268775Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.268787Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.268790Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.268863Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.336150Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.336165Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.336168Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.336248Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.403510Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.403523Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.403526Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.403600Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.471133Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.471158Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.471160Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.471262Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.538616Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.538627Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.538629Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.538687Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.606057Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.606069Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.606070Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.606126Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.673435Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.673447Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.673448Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.673506Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.740762Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.740771Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.740773Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.740826Z DEBUG   - _HandleCallbacks (831) - Callback called
